Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,181,0.380035384
3.5,229,0.383393453
3.75,294,0.401625815
4,377,0.423427541
4.25,473,0.443253177
4.5,581,0.458603066
4.75,698,0.468585049
5,822,0.473139146
5.25,952,0.473160511
5.5,1090,0.47133651
5.75,1241,0.469713323
6,1410,0.469466567
6.25,1598,0.470873704
6.5,1805,0.472783861
6.75,2027,0.47418449
7,2262,0.474457866
7.25,2509,0.473501135
7.5,2769,0.472192505
7.75,3050,0.471329139
8,3356,0.471431192
8.25,3687,0.472268379
8.5,4027,0.471636096
8.75,4355,0.467579181
9,4650,0.45881551
9.25,4897,0.44504456
9.5,5101,0.427979842
9.75,5275,0.409357613
10,5429,0.390483588
10.25,5571,0.372130801
10.5,5699,0.354129994
10.75,5806,0.336181983
11,5886,0.318066117
11.25,5934,0.299757733
11.5,5957,0.281749822
11.75,5966,0.26453758
12,5970,0.248494343
12.25,5976,0.233820191
12.5,5984,0.220370077
12.75,5992,0.207949637
13,5999,0.196395021
13.25,6000,0.185528143
13.5,6000,0.175410719
13.75,6000,0.166015768
14,6000,0.157279937
14.25,6000,0.149146422
14.5,6000,0.141564196
14.75,6000,0.13448733
15,6000,0.127874414
15.25,6000,0.121688042
15.5,6000,0.11589437
15.75,6000,0.110462727
16,6000,0.10536527
16.25,6000,0.10057669
16.5,6000,0.09607394
16.75,6000,0.091836008
17,6000,0.08784371
17.25,6000,0.084079503
17.5,6000,0.080527328
17.75,6000,0.077172463
18,6000,0.074001397
18.25,6000,0.071001713
18.5,6000,0.068161988
18.75,6000,0.0654717
19,6000,0.062921147
19.25,6000,0.060501373
19.5,6000,0.058204103
19.75,6000,0.056021681
20,6000,0.053947018
20.25,6000,0.051973546
20.5,6000,0.050095169
20.75,6000,0.048306228
21,6000,0.046601463
21.25,6000,0.044975979
21.5,6000,0.043425223
21.75,6000,0.041944947
22,6000,0.040531193
22.25,6000,0.039180267
22.5,6000,0.037888715
22.75,6000,0.036653313
23,6000,0.03547104
23.25,6000,0.034339073
23.5,6000,0.033254762
23.75,6000,0.032215627
24,6000,0.031219339
24.25,6000,0.030263713
24.5,6000,0.029346694
24.75,6000,0.028466353
25,6000,0.027620873
