Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-]
4,280.2,0.286,225.9,0.923
5,799.1,0.418,351.5,0.919
6,1532.7,0.464,498.1,0.904
7,2506.1,0.478,643.4,0.858
8,3730.7,0.476,797.3,0.814
9,5311.8,0.476,1009.1,0.814
10,7286.5,0.476,1245.8,0.814
11,9698.3,0.476,1507.4,0.814
12,10639.1,0.402,1270.8,0.577
13,10648.5,0.317,1082,0.419
14,10639.3,0.253,967.9,0.323
15,10683.7,0.207,890.8,0.259
16,10642,0.17,824.8,0.211
17,10640,0.142,774,0.175
18,10639.9,0.119,732.5,0.148
19,10652.8,0.102,698.4,0.126
20,10646.2,0.087,668.1,0.109
21,10644,0.075,642.1,0.095
22,10641.2,0.065,619.5,0.084
23,10639.5,0.057,599.8,0.074
24,10643.6,0.05,582.7,0.066
25,10635.7,0.044,567.2,0.059
