Wind Speed [m/s],Power [kW],Cp [-]
3,0,0
3.25,55,0.247514504
3.5,78,0.281046717
3.75,104,0.30466852
4,133,0.321040419
4.25,167,0.336076177
4.5,204,0.345844341
4.75,246,0.354602935
5,293,0.362114282
5.25,345,0.368323333
5.5,402,0.373272531
5.75,464,0.377053081
6,532,0.380492349
6.25,606,0.383460487
6.5,686,0.385897614
6.75,772,0.387787699
7,865,0.389592004
7.25,965,0.391202247
7.5,1072,0.39255367
7.75,1186,0.393611364
8,1308,0.394662471
8.25,1438,0.395626239
8.5,1576,0.396449143
8.75,1723,0.397327995
9,1878,0.397975289
9.25,2042,0.39858283
9.5,2215,0.399108486
9.75,2397,0.399523412
10,2430,0.375400045
10.25,2430,0.348596261
10.5,2430,0.324284674
10.75,2430,0.302182234
11,2430,0.28204361
11.25,2430,0.26365545
11.5,2430,0.246831623
11.75,2430,0.231409253
12,2430,0.217245397
12.25,2430,0.204214255
12.5,2430,0.192204823
12.75,2430,0.181118898
13,2430,0.170869388
13.25,2430,0.161378876
13.5,2430,0.152578386
13.75,2430,0.144406328
14,2430,0.136807597
14.25,2430,0.129732781
14.5,2430,0.123137495
14.75,2430,0.116981789
15,2430,0.111229643
15.25,2430,0.10584852
15.5,2430,0.100808981
15.75,2430,0.096084348
16,2430,0.091650402
16.25,2430,0.087485127
16.5,2430,0.083568477
16.75,2430,0.079882176
17,2430,0.076409535
17.25,2430,0.073135296
17.5,2430,0.07004549
17.75,2430,0.067127311
18,2430,0.064369006
18.25,2430,0.061759776
18.5,2430,0.059289684
18.75,2430,0.056949577
19,2430,0.054731017
19.25,2430,0.052626213
19.5,2430,0.050627967
19.75,2430,0.04872962
20,2430,0.046925006
20.25,2430,0.045208411
20.5,2430,0.043574533
20.75,2430,0.042018449
21,2430,0.040535584
21.25,2430,0.039121682
21.5,2430,0.037772779
21.75,2430,0.036485184
22,2430,0.035255451
22.25,2430,0.034080368
22.5,2430,0.032956931
22.75,2430,0.031882335
23,2430,0.030853953
23.25,2430,0.029869328
23.5,2430,0.028926157
23.75,2430,0.028022281
24,2430,0.027155675
24.25,2430,0.026324437
24.5,2430,0.025526782
24.75,2430,0.02476103
25,0,0
