Wind Speed [m/s],Power [-],Cp [-]
3,0.011805584,0.162757849
3.5,0.036001759,0.312563184
4,0.066874931,0.388957017
4.5,0.10629875,0.43421903
5,0.151089881,0.449928604
5.5,0.205489097,0.459747052
6,0.268638578,0.462948697
6.5,0.345781013,0.468683117
7,0.433686544,0.470652169
7.5,0.534629265,0.471723133
8,0.641382125,0.466299692
8.5,0.74295961,0.45032563
9,0.834664654,0.426189486
9.5,0.900006082,0.390744493
10,0.948946705,0.353232016
10.5,0.977222748,0.314227296
11,0.992810511,0.277655671
11.5,0.998735897,0.244441745
12,0.99985,0.215381973
12.5,0.99995,0.190575243
13,1,0.169429169
13.5,1,0.151292337
14,0.999533333,0.135591171
14.5,0.9984,0.121904238
15,0.996733333,0.109931826
15.5,0.994533333,0.099412841
16,0.9926,0.090205405
16.5,0.991133333,0.082129369
17,0.9904,0.075038148
17.5,0.99,0.068760541
18,0.99,0.06318819
18.5,0.952686813,0.056008405
19,0.915373626,0.049677054
19.5,0.87806044,0.044079719
20,0.840747253,0.039119537
20.5,0.803434066,0.034714179
21,0.766120879,0.030793401
21.5,0.728807692,0.027297056
22,0.691494505,0.024173466
22.5,0.654181319,0.021378086
23,0.616868132,0.018872397
23.5,0.579554945,0.016622995
24,0.542241758,0.014600828
24.5,0.504928571,0.012780561
25,0.467615385,0.011140046
